text,predicate_answer,framenet_answer
Though turnover rates of plasma S(f) > 20 triglyceride GENE in the same range in GENE and dogs.,3,5
Mice were immunized i.v. with rabbit and GENE RBC and their spleens assayed for cells producing MOLE_FUNCTION against both antigens.,31,2
Blood serum or GENE in the concentration with which it occurs in blood serum injected into the peritoneal cavity caused changes which differed little from those caused by physiological GENE solution.,3,5
Comparison of the incorporation of S35-labelled METABOLITE and S35-labelled METABOLITE into the body proteins of rats.,22,1
Case contribution to SIDE_EFFECT of the large GENE.,3,5
Cation-linked inhibition by COMPOUND and COMPOUND ions in beta-glycerophosphate medium.,8,5
Oestrogen production in the immature human GENE (PHENOTYPE based upon histochemical studies).,3,5
Effect of METABOLITE on cerebrospinal fluid FINDINGS in human subjects; preliminary report.,13,2
Serum proteins and GENE alpha amino METABOLITE in cerebral palsy.,11,2
SIDE_EFFECT of the basilar cerebral arteries and their PHENOTYPE origin.,3,5
Certain cases of GENE or neonatal disease following maternal PHENOTYPE may be associated with disease in the mother which affects her metabolic processes or the placenta in such a way as to interfere with development of the fetus and infant.,7,6
Carbamylation and binding constants for the inhibition of GENE by COMPOUND (eserine).,19,0
These results are discussed in relation to the hypothesis that an increase in COMPOUND permeability contributes to the inhibitory actions of noradrenaline on GENE smooth muscle.,2,5
Large dose COMPOUND regimen for pulmonary tuberculosis; effect of glutamic acid; management of SIDE_EFFECT with pyridoxine.,6,4
Effect of COMPOUND and COMPOUND on the blood platelets of rabbit.,3,5
Effect of COMPOUND on the blood bilirubin level in patients with Botkin's PHENOTYPE.,6,4
Functional SIDE_EFFECT in SIDE_EFFECT.,11,2
Calcium balance and GENE requirement in spinal SIDE_EFFECT.,11,2
Coliform-free rabbits PHENOTYPE P(32) labeled E. coli 0111B(4) prior to the induction of experimental hemorrhagic shock were shown to have a substantial amount of the type-specific 0111B(4) GENE in the circulating blood.,3,5
METABOLITE metabolism and mineral salt excretion in liver disease and the effect of METABOLITE.,6,4
Carotid-cavernous SIDE_EFFECT due to acute PHENOTYPE of an aneurysm with diffusion of contrast media in the subarachnoid space.,12,2
Studies on the fundamental vibration of the arterial PHENOTYPE GENE.,1,3
Effect of morphine administration on the activity of GENE in GENE microsomes.,13,2
The PHENOTYPE of GENE of patients with hepatic cirrhosis.,2,5
On the control of SIDE_EFFECT caused by disease of the cornea. III. A new treatment of parenchymatous GENE in congenital syphilis.,12,2
The effect of testosterone propionate at various protein and calorie intakes in SIDE_EFFECT after SIDE_EFFECT.,11,2
Ossification at the distal end of the metacarpal in the female GENE; response to pituitary growth hormone and METABOLITE after hypophysectomy.,1,3
Discontinued COMPOUND therapy in typhoid fever; METABOLITE in 212 cases.,9,4
Ammonia PHENOTYPE of canine GENE after oral administration of ammonium salts and ammonia.,2,5
Effect of unilateral PHENOTYPE of the kidneys on the blood FINDINGS level and urinary excretion of aldosterone in the rat.,3,5
Combined COMPOUND and para-aminobenzoic acid (pabalate) in the treatment of SIDE_EFFECT.,6,4
The utilization of METABOLITE in FINDINGS and in preeclampsia.,6,4
9 cases of PHENOTYPE or PHENOTYPE hepatica in children.,1,3
Stimulative effect of dietary glucose on GENE BIOLOGICAL_PROCESS and formation of cholesterol gallstones in hamsters.,13,2
Origin of GENE enzymes and intracellular enzymes in the GENE of rheumatoid patients.,2,5
Mechanism of respiratory disorders in diphtherial SIDE_EFFECT. I. Effect of diphtherial toxin on GENE conditions of the respiratory center in guinea pigs.,7,6
Effects of blood sugar decreasing sulfonamides on GENE GENE glycogen.,2,5
Rat PHENOTYPE studies with casein and lactalbumin and their COMPOUND derivatives.,1,3
The effect of COMPOUND and COMPOUND on plasma lipids in oophorectomized women.,6,4
Mechanisms of GENE GENE clearance after acute hemolysis: studies in open-heart surgical patients.,3,5
Multiple BIOLOGICAL_PROCESS centres in the epiphyses of the long bones of the human GENE and foot.,2,5
Occurrence of Australia GENE in Finnish PHENOTYPE patients.,6,4
Modulation of METABOLITE kinetics by fructose versus COMPOUND in the rat.,6,4
Use of COMPOUND in preparing the chronically infected GENE for tympanoplastic surgery.,9,4
Mechanism and GENE of the renal excretion of METABOLITE.,13,2
METABOLITE and streptomycin resistance of Mycobacterium SIDE_EFFECT.,3,5
Determination of COMPOUND in blood and GENE.,3,5
A patient is described in whom a large PHENOTYPE or diverticulum of the right atrium caused repeated attacks of supraventricular arrhythmia and a strikingly reduced GENE output.,3,5
A controlled study of the effect of intermittent COMPOUND therapy on the course of human PHENOTYPE.,1,3
"The conversion of GENE at the active site of GENE to cysteine: a ""chemical mutation"".",5,3
Glucose SIDE_EFFECT with SIDE_EFFECT in a patient with Laennec's cirrhosis.,1,3
Effect of GENE on bicarbonate PHENOTYPE in fluid perfusing the rat ileum.,5,3
Effect of hexestrol implantation upon BIOLOGICAL_PROCESS and endocrine organs of the female GENE.,2,5
Lidocaine-norepinephrine PHENOTYPE in obstetrics; xylocaine and levelophed combination in caudal PHENOTYPE.,6,4
Effect of hypophysectomy on concentGENEion of intrinsic factor in GENE GENE mucosa.,2,5
Diurnal PHENOTYPE of METABOLITE and creatinine during pregnancy.,7,6
The response to METABOLITE administered parenterally and orally for the treatment of SIDE_EFFECT.,6,4
The quantitative PHENOTYPE of perfusible glomeruli and the collagen and non-collagen nitrogen of the normal GENE.,2,5
For quantitative work copper is liberated from GENE by acid extraction and GENE precipitation.,3,5
Study of the effects of COMPOUND therapy on the oestrogen-induced sensitivity of rat PHENOTYPE.,2,5
Therapeutic METABOLITE of penicillin in SIDE_EFFECT.,6,4
A comparison of effects of COMPOUND and digoxigenin on heart GENE.,22,1
A nervous GENE produced with COMPOUND and methionine.,12,2
Organic METABOLITE compounds in the testis of the rat under experimental conditions which impair GENE.,15,2
On development of foci of PHENOTYPE at the sites of tissue SIDE_EFFECT in leukemias.,7,6
The static physiomechanical characteristics of the rat GENE in its components: tissue and endoalveolar surface tension (studied by investigation of pressure-volume function obtained by means of insufflation of GENE and Ringer-Locke solution and mathematical analysis of the relative curve).,2,5
Studies on ribosomes of GENE spleen during the BIOLOGICAL_PROCESS.,2,5
Endocrine-genital SIDE_EFFECT treated by cortisone; improvement of clinical symptoms; decrease of SIDE_EFFECT; persistence of vagotonic state.,6,4
Development of SIDE_EFFECT and Changes in Sensitivity to Tuberculin in an Institution for the Feebleminded-A GENE Years' Study.,13,2
Effect of METABOLITE and METABOLITE on the uterus.,3,5
Effect of GENE on GENE secretion in the dog.,13,2
The effect of GENE on glycogen content of GENE.,5,3
Effects of PHENOTYPE on FINDINGS and renal blood flow in the rabbit.,1,3
Some unusual clinical features associated with PHENOTYPE. III. On polycythaemia secondary to PHENOTYPE.,12,2
Maternal GENE and PHENOTYPE.,1,3
Effect of novocain on gastric PHENOTYPE in SIDE_EFFECT and in gastritis due to hyperacidity.,6,4
Effects of venesection on GENE and cardiac function in patients with chronic GENE emphysema and secondary polycythemia.,1,3
The sheep GENE agglutination test in SIDE_EFFECT.,4,4
Serial determinations of serum protein levels in acute human SIDE_EFFECT revealed a progressive drop of the serum albumin level which bore close relationship to the amount of clinical SIDE_EFFECT.,11,2
Elimination of the metabolites of the tryptophan--nicotinic GENE pathway after COMPOUND treatment in the rat.,6,4
Effects of cancer chemotherapeutic agents on GENE activity of human cancer GENE in vitro.,5,3
The C-reactive GENE in the picture of tonsillar pathology. I. Comparative research of the tonsillar PHENOTYPE.,3,5
Effects of oral chlortetracycline on diarrhea and on the dry weights of cleaned GENE organs in rats PHENOTYPE two different diets.,2,5
Serum polysaccharide and fever in thrombocytopenic PHENOTYPE of PHENOTYPE.,6,4
On the quantitative functional analysis of an inhibitory factor for lymphocyte transformation in GENE cultures following tuberculin addition in the blood plasma of patients suffering from SIDE_EFFECT.,1,3
The supplemental value of METABOLITE and methionine for low protein (casein) diets fed the young white GENE.,9,4
The deoxyribonucleic acid PHENOTYPE of SIDE_EFFECT of the uterus: an assessment of its possible significance in relation to histopathology and clinical course.,2,5
Serological reactions of PHENOTYPE patients to extracts of GENE tissue.,1,3
Use of placental GENE in prevention of GENE loss in the placental stage and early postpartum.,2,5
Acetylcholine and electrolyte BIOLOGICAL_PROCESS in the various chambers of the frog and turtle GENE.,2,5
1966.-The effect of viral antibody on PHENOTYPE of HeLa cells by the Edmonston strain of measles virus was investigated by culturing cells from three persistently infected clones in medium supplemented with human immune GENE.,5,3
Chemotherapeutic activity of COMPOUND in experimental SIDE_EFFECT of guinea pigs.,6,4
Treatment of PHENOTYPE with delta butazolidin in comparison with COMPOUND.,22,1
The hyperlipemias in PHENOTYPE of carbohydrate metabolism: serial GENE studies in diabetic acidosis with xanthomatosis and in glycogen storage disease.,11,2
